fecha,equipo_local,resultado,equipo_visita
30-03-2024,Eibar,5 - 1,Eldense
06-04-2024,Eldense,? - ?,FC Andorra
13-08-2023,Albacete,1 - 1,Espanol
19-08-2023,Espanol,2 - 0,Santander
27-08-2023,Mirandes,0 - 1,Espanol
03-09-2023,Espanol,3 - 2,Amorebieta
08-09-2023,Levante,1 - 4,Espanol
17-09-2023,Espanol,3 - 3,Eldense
25-09-2023,Tenerife,1 - 0,Espanol
02-10-2023,Espanol,3 - 0,Racing Ferrol
05-10-2023,Cartagena,0 - 2,Espanol
09-10-2023,Villarreal II,3 - 1,Espanol
14-10-2023,Espanol,2 - 0,Valladolid
20-10-2023,Espanol,0 - 1,Leganes
28-10-2023,Sp Gijon,2 - 0,Espanol
03-11-2023,Espanol,2 - 2,Eibar
12-11-2023,Huesca,1 - 1,Espanol
18-11-2023,Espanol,2 - 0,Elche
26-11-2023,Espanol,2 - 0,Alcorcon
01-12-2023,Oviedo,2 - 0,Espanol
08-12-2023,Espanol,1 - 1,Zaragoza
16-12-2023,FC Andorra,1 - 1,Espanol
19-12-2023,Espanol,3 - 3,Burgos
13-01-2024,Racing Ferrol,0 - 0,Espanol
20-01-2024,Espanol,2 - 1,Villarreal II
28-01-2024,Eldense,3 - 2,Espanol
04-02-2024,Espanol,2 - 1,Levante
10-02-2024,Santander,2 - 0,Espanol
17-02-2024,Espanol,3 - 0,Mirandes
24-02-2024,Eibar,2 - 3,Espanol
02-03-2024,Espanol,0 - 0,Huesca
10-03-2024,Alcorcon,1 - 1,Espanol
17-03-2024,Zaragoza,0 - 1,Espanol
23-03-2024,Espanol,1 - 1,Tenerife
29-03-2024,Burgos,0 - 0,Espanol
07-04-2024,Espanol,? - ?,Albacete
13-08-2023,Leganes,0 - 1,FC Andorra
18-08-2023,FC Andorra,3 - 2,Cartagena
27-08-2023,Amorebieta,3 - 0,FC Andorra
03-09-2023,FC Andorra,0 - 1,Tenerife
10-09-2023,Mirandes,4 - 3,FC Andorra
18-09-2023,FC Andorra,1 - 0,Oviedo
23-09-2023,FC Andorra,0 - 0,Sp Gijon
30-09-2023,Albacete,3 - 1,FC Andorra
05-10-2023,FC Andorra,0 - 1,Zaragoza
09-10-2023,Elche,2 - 1,FC Andorra
15-10-2023,FC Andorra,2 - 0,Alcorcon
22-10-2023,Valladolid,2 - 0,FC Andorra
28-10-2023,FC Andorra,2 - 0,Levante
05-11-2023,Racing Ferrol,1 - 0,FC Andorra
12-11-2023,FC Andorra,1 - 3,Eldense
19-11-2023,Villarreal II,0 - 0,FC Andorra
25-11-2023,Burgos,0 - 0,FC Andorra
03-12-2023,FC Andorra,1 - 0,Huesca
10-12-2023,Eibar,2 - 2,FC Andorra
16-12-2023,FC Andorra,1 - 1,Espanol
19-12-2023,Santander,2 - 0,FC Andorra
14-01-2024,FC Andorra,2 - 3,Leganes
20-01-2024,Zaragoza,2 - 0,FC Andorra
28-01-2024,FC Andorra,0 - 1,Elche
03-02-2024,Tenerife,0 - 0,FC Andorra
11-02-2024,Alcorcon,1 - 0,FC Andorra
17-02-2024,FC Andorra,1 - 1,Villarreal II
03-03-2024,FC Andorra,2 - 1,Valladolid
08-03-2024,Huesca,2 - 0,FC Andorra
13-03-2024,Levante,0 - 0,FC Andorra
18-03-2024,FC Andorra,0 - 1,Amorebieta
23-03-2024,Cartagena,1 - 0,FC Andorra
30-03-2024,FC Andorra,1 - 0,Mirandes
06-04-2024,Eldense,? - ?,FC Andorra
13-08-2023,Burgos,1 - 1,Huesca
21-08-2023,Huesca,0 - 2,Tenerife
28-08-2023,Santander,0 - 0,Huesca
03-09-2023,Huesca,1 - 1,Mirandes
09-09-2023,Leganes,2 - 0,Huesca
16-09-2023,Huesca,2 - 2,Villarreal II
23-09-2023,Alcorcon,0 - 2,Huesca
01-10-2023,Huesca,0 - 1,Sp Gijon
04-10-2023,Oviedo,1 - 0,Huesca
07-10-2023,Huesca,0 - 1,Eldense
15-10-2023,Eibar,1 - 1,Huesca
22-10-2023,Huesca,0 - 1,Elche
29-10-2023,Huesca,0 - 0,Albacete
05-11-2023,Amorebieta,0 - 1,Huesca
12-11-2023,Huesca,1 - 1,Espanol
18-11-2023,Zaragoza,0 - 2,Huesca
24-11-2023,Huesca,0 - 1,Valladolid
03-12-2023,FC Andorra,1 - 0,Huesca
10-12-2023,Huesca,1 - 0,Racing Ferrol
17-12-2023,Levante,2 - 1,Huesca
21-12-2023,Huesca,3 - 0,Cartagena
14-01-2024,Sp Gijon,0 - 0,Huesca
21-01-2024,Huesca,2 - 3,Eibar
28-01-2024,Villarreal II,1 - 1,Huesca
03-02-2024,Huesca,1 - 0,Alcorcon
10-02-2024,Eldense,0 - 0,Huesca
18-02-2024,Huesca,0 - 0,Amorebieta
26-02-2024,Mirandes,0 - 3,Huesca
02-03-2024,Espanol,0 - 0,Huesca
08-03-2024,Huesca,2 - 0,FC Andorra
16-03-2024,Tenerife,0 - 0,Huesca
24-03-2024,Huesca,3 - 0,Burgos
30-03-2024,Albacete,1 - 1,Huesca
07-04-2024,Huesca,? - ?,Leganes
13-08-2023,Leganes,0 - 1,FC Andorra
19-08-2023,Alcorcon,0 - 2,Leganes
27-08-2023,Leganes,2 - 0,Albacete
03-09-2023,Eibar,0 - 1,Leganes
09-09-2023,Leganes,2 - 0,Huesca
17-09-2023,Elche,1 - 0,Leganes
24-09-2023,Mirandes,1 - 3,Leganes
29-09-2023,Leganes,2 - 1,Santander
04-10-2023,Burgos,1 - 0,Leganes
07-10-2023,Leganes,0 - 0,Oviedo
15-10-2023,Leganes,6 - 0,Amorebieta
20-10-2023,Espanol,0 - 1,Leganes
29-10-2023,Leganes,1 - 0,Villarreal II
05-11-2023,Cartagena,0 - 3,Leganes
10-11-2023,Leganes,2 - 1,Levante
17-11-2023,Valladolid,1 - 1,Leganes
26-11-2023,Leganes,2 - 2,Racing Ferrol
02-12-2023,Zaragoza,1 - 0,Leganes
10-12-2023,Leganes,1 - 1,Eldense
16-12-2023,Sp Gijon,1 - 1,Leganes
20-12-2023,Leganes,1 - 1,Tenerife
14-01-2024,FC Andorra,2 - 3,Leganes
22-01-2024,Leganes,2 - 0,Burgos
27-01-2024,Oviedo,1 - 0,Leganes
03-02-2024,Leganes,0 - 0,Valladolid
09-02-2024,Levante,0 - 0,Leganes
18-02-2024,Leganes,3 - 0,Alcorcon
24-02-2024,Santander,2 - 1,Leganes
03-03-2024,Leganes,0 - 2,Eibar
11-03-2024,Amorebieta,0 - 1,Leganes
17-03-2024,Leganes,4 - 0,Mirandes
23-03-2024,Villarreal II,1 - 2,Leganes
30-03-2024,Leganes,0 - 0,Cartagena
07-04-2024,Huesca,? - ?,Leganes
11-08-2023,Amorebieta,1 - 1,Levante
19-08-2023,Levante,3 - 2,Burgos
25-08-2023,Cartagena,0 - 1,Levante
02-09-2023,Levante,1 - 1,Oviedo
08-09-2023,Levante,1 - 4,Espanol
16-09-2023,Alcorcon,0 - 2,Levante
23-09-2023,Levante,2 - 0,Eldense
30-09-2023,Elche,0 - 0,Levante
03-10-2023,Levante,1 - 1,Villarreal II
06-10-2023,Albacete,0 - 2,Levante
16-10-2023,Levante,1 - 0,Racing Ferrol
21-10-2023,Tenerife,0 - 0,Levante
28-10-2023,FC Andorra,2 - 0,Levante
04-11-2023,Levante,2 - 2,Mirandes
10-11-2023,Leganes,2 - 1,Levante
20-11-2023,Levante,2 - 4,Santander
25-11-2023,Eibar,3 - 1,Levante
02-12-2023,Levante,2 - 1,Valladolid
09-12-2023,Sp Gijon,0 - 0,Levante
17-12-2023,Levante,2 - 1,Huesca
20-12-2023,Zaragoza,2 - 2,Levante
13-01-2024,Levante,3 - 2,Albacete
21-01-2024,Mirandes,1 - 1,Levante
27-01-2024,Levante,0 - 0,Tenerife
04-02-2024,Espanol,2 - 1,Levante
09-02-2024,Levante,0 - 0,Leganes
18-02-2024,Racing Ferrol,0 - 0,Levante
02-03-2024,Oviedo,3 - 2,Levante
10-03-2024,Levante,1 - 0,Sp Gijon
13-03-2024,Levante,0 - 0,FC Andorra
16-03-2024,Burgos,1 - 1,Levante
24-03-2024,Levante,3 - 2,Elche
30-03-2024,Valladolid,0 - 0,Levante
06-04-2024,Levante,? - ?,Zaragoza
14-08-2023,Mirandes,4 - 0,Alcorcon
20-08-2023,Sp Gijon,3 - 0,Mirandes
27-08-2023,Mirandes,0 - 1,Espanol
03-09-2023,Huesca,1 - 1,Mirandes
10-09-2023,Mirandes,4 - 3,FC Andorra
17-09-2023,Amorebieta,2 - 0,Mirandes
24-09-2023,Mirandes,1 - 3,Leganes
01-10-2023,Zaragoza,0 - 1,Mirandes
05-10-2023,Mirandes,1 - 3,Eibar
08-10-2023,Valladolid,3 - 2,Mirandes
14-10-2023,Mirandes,1 - 1,Tenerife
21-10-2023,Villarreal II,0 - 3,Mirandes
29-10-2023,Mirandes,2 - 1,Cartagena
04-11-2023,Levante,2 - 2,Mirandes
11-11-2023,Mirandes,1 - 2,Racing Ferrol
19-11-2023,Eldense,2 - 2,Mirandes
26-11-2023,Mirandes,2 - 1,Oviedo
03-12-2023,Mirandes,0 - 0,Santander
09-12-2023,Burgos,0 - 0,Mirandes
16-12-2023,Mirandes,2 - 0,Albacete
