titulo,autor,duracion
Runic Lord,De: Isaac Keyes,Duración: 10 h y 2 m
Memento Mori,De: Hunter Blain,Duración: 11 h y 19 m
Leather & Lark,De: Brynne Weaver,Duración: Aún no se conoce
Hans,De: S.J. Tilly,Duración: 10 h y 53 m
The Mix-Up,De: Eve Marian,Duración: 6 h y 58 m
Dungeon Desolation (Dramatized Adaptation),De: Dakota Krout,Duración: 8 h y 6 m
Hey Jude,De: Hannah Brixton,Duración: 11 h y 7 m
We Solve Murders,De: Richard Osman,Duración: 14 h
Home Is Where the Bodies Are,De: Jeneva Rose,Duración: 8 h y 30 m
The Algebra of Wealth,De: Scott Galloway,Duración: 10 h
Pride and Prejudice,De: Jane Austen,Duración: 11 h y 35 m
Ian Fleming,De: Nicholas Shakespeare,Duración: 29 h y 17 m
Revelations,De: D. Petrie,Duración: 14 h y 18 m
The Protector,De: Scott Blade,Duración: 7 h y 43 m
The City Is Up for Grabs,De: Gregory Royal Pratt,Duración: 8 h y 4 m
The City and Its Uncertain Walls,"De: Haruki Murakami, Philip Gabriel - translator",Duración: 15 h
Children of Anguish and Anarchy,De: Tomi Adeyemi,Duración: 12 h
Winter Lost,De: Patricia Briggs,Duración: 11 h
Avatar,De: Seth Ring,Duración: 14 h
The Age of Magical Overthinking,De: Amanda Montell,Duración: 6 h y 5 m
Matterhorn,De: Christopher Reich,Duración: 9 h y 15 m
Volcano Violence,De: Jasmine Webb,Duración: 6 h y 28 m
The Sweet Blue Distance,De: Sara Donati,Duración: 28 h y 41 m
Defiance of the Fall 12,"De: TheFirstDefier, JF Brink",Duración: 26 h y 24 m
Goddess Descension,De: Rain Harlow,Duración: 20 h y 3 m
The Celestial Guardian,De: Gary McAvoy,Duración: 7 h y 55 m
Star Wars: The Living Force,De: John Jackson Miller,Duración: 16 h y 11 m
Born of Blood and Ash,De: Jennifer L. Armentrout,Duración: 24 h
The Lost Letters of Aisling,De: Cynthia Ellingsen,Duración: 9 h y 53 m
Clear,De: Carys Davies,Duración: 3 h y 6 m
"Nailmaker: The Reaper, an Isekai LitRPG",De: A. Bel,Duración: 10 h y 45 m
Heartwood Mage,De: James Haddock,Duración: 8 h y 17 m
A Calamity of Souls,De: David Baldacci,Duración: 12 h
Angel of Vengeance,"De: Douglas Preston, Lincoln Child",Duración: 14 h
Bad Therapy,De: Abigail Shrier,Duración: 8 h y 56 m
Fierce Obsession,De: S. Massery,Duración: 9 h y 13 m
Tom Clancy Act of Defiance,"De: Brian Andrews, Jeffrey Wilson",Duración: 13 h
Lucky Son of a Gun,De: John Conroe,Duración: 8 h y 11 m
The Witch's Redemption,De: Tiffany Ann,Duración: 4 h y 39 m
Legend of the Arch Magus: Publisher's Pack 6,De: Michael Sisa,Duración: 14 h y 40 m
Worth Fighting For,De: John Pavlovitz,Duración: 5 h y 13 m
A Death in Cornwall,De: Daniel Silva,Duración: 12 h
The Demon of Unrest,De: Erik Larson,Duración: 15 h
A Death in Venice,De: Verity Bright,Duración: 8 h y 48 m
A Night of Redemption,De: Kristen Banet,Duración: 11 h y 15 m
The Laws of Human Nature,De: Robert Greene,Duración: 28 h y 26 m
Legend of the Arch Magus: Publisher's Pack 6,De: Michael Sisa,Duración: 14 h y 40 m
Worth Fighting For,De: John Pavlovitz,Duración: 5 h y 13 m
The City and Its Uncertain Walls,"De: Haruki Murakami, Philip Gabriel - translator",Duración: 15 h
A Death in Cornwall,De: Daniel Silva,Duración: 12 h
The Demon of Unrest,De: Erik Larson,Duración: 15 h
A Death in Venice,De: Verity Bright,Duración: 8 h y 48 m
A Night of Redemption,De: Kristen Banet,Duración: 11 h y 15 m
The Laws of Human Nature,De: Robert Greene,Duración: 28 h y 26 m
Road of Skulls,De: Josh Reynolds,Duración: 12 h y 18 m
Fire and Fury,"De: Christopher Hopper, J.N. Chaney",Duración: 13 h y 49 m
"Nailmaker: The Reaper, an Isekai LitRPG",De: A. Bel,Duración: 10 h y 45 m
Memento Mori,De: Hunter Blain,Duración: 11 h y 19 m
The Rip,De: Holly Craig,Duración: 10 h y 18 m
God Emperor of Dune,De: Frank Herbert,Duración: 15 h y 48 m
Camino Ghosts,De: John Grisham,Duración: 9 h
The Witch's Redemption,De: Tiffany Ann,Duración: 4 h y 39 m
Ian Fleming,De: Nicholas Shakespeare,Duración: 29 h y 17 m
Outlander,De: Diana Gabaldon,Duración: 32 h y 38 m
Dragon Wars Omnibus: 20-Book Collection,De: Craig Halloran,Duración: 128 h y 14 m
The Housemaid Is Watching,De: Freida McFadden,Duración: 11 h y 42 m
The Lightkeeper,De: Dr. Rebecca Sharp,Duración: 10 h y 12 m
Swamp Kings,De: Jason Ryan,Duración: 14 h y 58 m
Reckless,De: Lauren Roberts,Duración: 11 h
ADHD Is Awesome,"De: Penn Holderness, Kim Holderness",Duración: 8 h y 48 m
Dune Messiah,De: Frank Herbert,Duración: 8 h y 57 m
The Total Money Makeover Updated and Expanded,De: Dave Ramsey,Duración: 7 h y 17 m
The American,De: Jodi Ellen Malpas,Duración: 23 h y 8 m
I'm Starting to Worry About This Black Box of Doom,De: Jason Pargin,Duración: 12 h y 21 m
The Girl Who Was Taken,De: Charlie Donlea,Duración: 10 h y 49 m
The 24th Hour,"De: James Patterson, Maxine Paetro",Duración: 8 h
Avalon Tower,"De: C.N. Crawford, Alex Rivers",Duración: 11 h y 37 m
The Mercy of Gods,De: James S.A. Corey,Duración: 18 h y 30 m
Power Moves,De: Sarah Jakes Roberts,Duración: 7 h y 31 m
Democracy or Else,"De: Jon Favreau, Jon Lovett, Tommy Vietor",Duración: Aún no se conoce
Heart of the Shadow King,De: Sylvia Mercedes,Duración: 14 h y 24 m
